uid,title,genre,aired,episodes,ranked,score,link
20205,Yama ni Kagayaku: Guide-ken Heiji Gou,"['Drama', 'Slice of Life']",21-Apr-12,1,14508,5.79,https://myanimelist.net/anime/20205/Yama_ni_Kagayaku__Guide-ken_Heiji_Gou
887,Megami Kouhosei Special Curriculum,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space']",25-May-02,1,6560,6.4,https://myanimelist.net/anime/887/Megami_Kouhosei_Special_Curriculum
1262,Macross II: Lovers Again,"['Adventure', 'Space', 'Mecha', 'Military', 'Sci-Fi', 'Shounen']","May 21, 1992 to Nov 21, 1992",6,6558,6.4,https://myanimelist.net/anime/1262/Macross_II__Lovers_Again
4023,Kitty's Paradise,"['Fantasy', 'Kids']","Apr 6, 1994 to Sep 28, 1994",16,6557,6.4,https://myanimelist.net/anime/4023/Kittys_Paradise
3323,Kite Liberator,"['Action', 'Sci-Fi', 'Drama']",21-Mar-08,1,6556,6.4,https://myanimelist.net/anime/3323/Kite_Liberator
3279,Kinnikuman: Seigi Choujin vs. Senshi Choujin,"['Action', 'Comedy', 'Sports', 'Shounen']",20-Dec-86,1,6555,6.4,https://myanimelist.net/anime/3279/Kinnikuman__Seigi_Choujin_vs_Senshi_Choujin
3275,Kinnikuman: Seigi Choujin vs. Kodai Choujin,"['Action', 'Comedy', 'Sports', 'Shounen']",16-Mar-85,1,6554,6.4,https://myanimelist.net/anime/3275/Kinnikuman__Seigi_Choujin_vs_Kodai_Choujin
34248,Wu Kong Da Zhan Er Lang Shen,"['Action', 'Adventure']",1-Jun-07,1,14463,7,https://myanimelist.net/anime/34248/Wu_Kong_Da_Zhan_Er_Lang_Shen
32274,Ketsuekigata-kun! 4,['Comedy'],"Jan 12, 2016 to Mar 29, 2016",12,6553,6.4,https://myanimelist.net/anime/32274/Ketsuekigata-kun_4
32503,"Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)",['Ecchi'],26-Dec-08,1,6552,6.4,https://myanimelist.net/anime/32503/Kemeko_Deluxe__Izumi-chan_Fukenkou_yo_Kari
37391,Xi Yang Yang Yu Hui Tai Lang: Zhi Fei Ma Qi Yu Ji,"['Adventure', 'Comedy', 'Kids']",16-Jan-14,1,14468,5.42,https://myanimelist.net/anime/37391/Xi_Yang_Yang_Yu_Hui_Tai_Lang__Zhi_Fei_Ma_Qi_Yu_Ji
3099,Juusenshi Gulkeeva,"['Action', 'Fantasy', 'Mecha', 'Super Power']","Apr 4, 1995 to Sep 26, 1995",26,6551,6.4,https://myanimelist.net/anime/3099/Juusenshi_Gulkeeva
36325,Wao-kun no Hane,['Kids'],1998,1,14418,7.57,https://myanimelist.net/anime/36325/Wao-kun_no_Hane
32646,Tsuzuki wo Kangaeru Monogatari,['Drama'],"Apr 18, 2010 to Dec 5, 2010",4,14311,5.44,https://myanimelist.net/anime/32646/Tsuzuki_wo_Kangaeru_Monogatari
35528,Tteodori Kkachi,"['Drama', 'Sports']",5-May-87,1,14312,6.55,https://myanimelist.net/anime/35528/Tteodori_Kkachi
19555,Ttoli Janggun,"['Action', 'Drama', 'Shounen']",1978,1,14313,5.07,https://myanimelist.net/anime/19555/Ttoli_Janggun
30036,Tokai no Butchy,"['Romance', 'Music']",29-Jun-95,1,14240,6.31,https://myanimelist.net/anime/30036/Tokai_no_Butchy
32580,Uniminipet,"['Adventure', 'Fantasy']","Jun 15, 2001 to Dec 7, 2001",26,14368,6.53,https://myanimelist.net/anime/32580/Uniminipet
35545,Turning Mecard W: Black Mirror-ui Buhwal,"['Game', 'Adventure', 'Cars', 'Kids', 'Mecha']",18-Jan-17,1,14319,5.27,https://myanimelist.net/anime/35545/Turning_Mecard_W__Black_Mirror-ui_Buhwal
38571,Tobidase! Dokan-kun,"['Comedy', 'Mecha']","Oct 26, 2011 to Mar 14, 2011",15,14231,6.12,https://myanimelist.net/anime/38571/Tobidase_Dokan-kun
33916,Wanwanwan Coin,['Comedy'],"Nov 30, 2015 to Jun 20, 2016",15,14417,5.56,https://myanimelist.net/anime/33916/Wanwanwan_Coin
21161,Wansa-kun OVA,"['Comedy', 'Kids']",1974,1,14416,6.93,https://myanimelist.net/anime/21161/Wansa-kun_OVA
39572,Wangu Xian Qiong 3rd Season,['Comedy'],"Mar 8, 2019 to May 17, 2019",13,14413,6.08,https://myanimelist.net/anime/39572/Wangu_Xian_Qiong_3rd_Season
37392,Xi Yang Yang Yu Hui Tai Lang: Zhi Yang Nian Xi Yang Yang,"['Adventure', 'Comedy', 'Kids']",31-Jan-15,1,14470,5.37,https://myanimelist.net/anime/37392/Xi_Yang_Yang_Yu_Hui_Tai_Lang__Zhi_Yang_Nian_Xi_Yang_Yang
7551,Gowapper 5 Gordam,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']","Apr 4, 1976 to Dec 29, 1976",36,6545,6.4,https://myanimelist.net/anime/7551/Gowapper_5_Gordam
1158,Geobreeders: File-X Chibi Neko Dakkan,"['Adventure', 'Comedy', 'Shounen', 'Supernatural']","May 21, 1998 to Oct 21, 1998",3,6543,6.4,https://myanimelist.net/anime/1158/Geobreeders__File-X_Chibi_Neko_Dakkan
36914,Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,"['Comedy', 'School']",31-Dec-17,1,6542,6.4,https://myanimelist.net/anime/36914/Fate_Grand_Order__Himuro_no_Tenchi_-_7-nin_no_Saikyou_Ijin-hen
4242,Ginga Reppuu Baxingar,"['Action', 'Adventure', 'Mecha']","Jul 6, 1982 to Mar 29, 1983",39,6544,6.4,https://myanimelist.net/anime/4242/Ginga_Reppuu_Baxingar
33047,Fate/Extra: Last Encore,"['Action', 'Fantasy', 'Magic']","Jan 28, 2018 to Apr 1, 2018",10,6541,6.4,https://myanimelist.net/anime/33047/Fate_Extra__Last_Encore
29722,"Eikoku Ikka, Nihon wo Taberu","['Comedy', 'Slice of Life']","Apr 12, 2015 to Oct 11, 2015",24,6540,6.4,https://myanimelist.net/anime/29722/Eikoku_Ikka_Nihon_wo_Taberu
14889,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,"['Comedy', 'Ecchi', 'Parody', 'School', 'Shounen']",26-Jan-13,1,6539,6.4,https://myanimelist.net/anime/14889/Ebiten__Kouritsu_Ebisugawa_Koukou_Tenmonbu_OVA
2637,Doraemon: It's Autumn!,"['Kids', 'Adventure', 'Fantasy', 'Comedy', 'Shounen']",4-Apr-86,1,6538,6.4,https://myanimelist.net/anime/2637/Doraemon__Its_Autumn
40420,Dollfro: Iyashi-hen,['Comedy'],"Oct 5, 2019 to Dec 21, 2019",12,6537,6.44,https://myanimelist.net/anime/40420/Dollfro__Iyashi-hen
23767,Yamiyo no Jidaigeki (OVA),"['Historical', 'Horror']",2-Aug-95,2,14513,5.06,https://myanimelist.net/anime/23767/Yamiyo_no_Jidaigeki_OVA
40523,"Yamasuki, Yamazaki","['Dementia', 'Music']","Jan, 2013",1,14510,4.61,https://myanimelist.net/anime/40523/Yamasuki_Yamazaki
39204,Demon Dance Tokyo,['Music'],19-Oct-16,1,6536,6.4,https://myanimelist.net/anime/39204/Demon_Dance_Tokyo
